f,count,mean,std,min,25,50,75,max
age\_group,10014,1.013,0.481,0.000,1.000,1.000,1.000,2.000
average\_speed,10014,24.249,653.315,0.000,4.956,5.729,6.466,36100.000
average\_watts,1848,163.001,49.507,0.000,139.100,161.850,180.850,482.600
distance,10014,26153.095,29465.229,0.000,7444.825,13751.250,34587.275,436806.000
elapsed\_time,10014,5845.877,19296.202,0.000,1648.000,3020.000,7343.000,1806211.000
elev\_high,9845,282.096,272.661,-71.200,162.200,229.400,296.400,12103.000
elev\_low,9844,131.986,68.683,-500.000,103.100,130.000,148.300,1484.000
kilojoules,1765,1295.764,756.062,0.000,728.700,1236.700,1745.400,5928.800
max\_speed,10014,12.136,3.993,0.000,9.600,11.600,14.475,122.700
max\_watts,546,630.949,244.339,115.000,502.000,603.000,708.000,2428.000
moving\_time,10014,4543.180,5016.518,0.000,1442.000,2451.000,6109.000,90983.000
pr\_count,1959,1.481,3.203,0.000,0.000,0.000,2.000,50.000
resource\_state,1959,2.000,0.000,2.000,2.000,2.000,2.000,2.000
total\_elevation\_gain,10014,278.702,428.878,0.000,27.500,85.200,361.800,4416.800
weighted\_average\_watts,546,188.861,30.352,5.000,176.250,195.000,208.750,246.000
workout\_type,4039,9.743,1.853,0.000,10.000,10.000,10.000,12.000
