features,count,mean,std,min,0.25,0.50,0.75,max
age\_group,10014,1.01,0.48,0.0,1.0,1.0,1.0,2.0
average\_speed,10014,24.25,653.31,0.0,4.96,5.73,6.47,36100.0
average\_watts,1848,163.0,49.51,0.0,139.1,161.85,180.85,482.6
distance,10014,26153.09,29465.23,0.0,7444.83,13751.25,34587.27,436806.0
elapsed\_time,10014,5845.88,19296.2,0.0,1648.0,3020.0,7343.0,1806211.0
elev\_high,9845,282.1,272.66,-71.2,162.2,229.4,296.4,12103.0
elev\_low,9844,131.99,68.68,-500.0,103.1,130.0,148.3,1484.0
kilojoules,1765,1295.76,756.06,0.0,728.7,1236.7,1745.4,5928.8
max\_speed,10014,12.14,3.99,0.0,9.6,11.6,14.48,122.7
max\_watts,546,630.95,244.34,115.0,502.0,603.0,708.0,2428.0
moving\_time,10014,4543.18,5016.52,0.0,1442.0,2451.0,6109.0,90983.0
pr\_count,1959,1.48,3.2,0.0,0.0,0.0,2.0,50.0
resource\_state,1959,2.0,0.0,2.0,2.0,2.0,2.0,2.0
total\_elevation\_gain,10014,278.7,428.88,0.0,27.5,85.2,361.8,4416.8
weighted\_average\_watts,546,188.86,30.35,5.0,176.25,195.0,208.75,246.0
workout\_type,4039,9.74,1.85,0.0,10.0,10.0,10.0,12.0
